Name,Batting Style,Bowling Style,Playing Role,Team
Johnson Charles,Right hand Bat,,Wicketkeeper Batter,West Indies
Tony Munyonga,Right hand Bat,Right arm Offbreak,Allrounder,Zimbabwe
Lahiru Kumara,Left hand Bat,Right arm Fast,Bowler,Sri Lanka
Binura Fernando,Right hand Bat,Left arm Medium fast,Bowler,Sri Lanka
Alishan Sharafu,Right hand Bat,Right arm Medium,Opening Batter,United Arab Emirates
Zane Green,Left hand Bat,,Wicketkeeper Batter,Namibia
Ruben Trumpelmann,Right hand Bat,Left arm Fast,Bowler,Namibia
Ahmed Raza,Right hand Bat,Slow Left arm Orthodox,Bowler,United Arab Emirates
Finn Allen,Right hand Bat,,Top order Batter,New Zealand
Devon Conway,Left hand Bat,Right arm Medium,Wicketkeeper Batter,New Zealand
Kane Williamson,Right hand Bat,Right arm Offbreak,Top order Batter,New Zealand
Glenn Phillips,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,New Zealand
James Neesham,Left hand Bat,Right arm Medium fast,Batting Allrounder,New Zealand
David Warner,Left hand Bat,Legbreak,Opening Batter,Australia
Aaron Finch,Right hand Bat,Slow Left arm Orthodox,Top order Batter,Australia
Mitchell Marsh,Right hand Bat,Right arm Medium,Allrounder,Australia
Glenn Maxwell,Right hand Bat,Right arm Offbreak,Batting Allrounder,Australia
Marcus Stoinis,Right hand Bat,Right arm Medium,Batting Allrounder,Australia
Tim David,Right hand Bat,Right arm Offbreak,Middle order Batter,Australia
Matthew Wade,Left hand Bat,Right arm Medium,Wicketkeeper Batter,Australia
Pat Cummins,Right hand Bat,Right arm Fast,Bowler,Australia
Mitchell Starc,Left hand Bat,Left arm Fast,Bowler,Australia
Adam Zampa,Right hand Bat,Legbreak Googly,Bowler,Australia
Josh Hazlewood,Left hand Bat,Right arm Fast medium,Bowler,Australia
Trent Boult,Right hand Bat,Left arm Fast medium,Bowler,New Zealand
Tim Southee,Right hand Bat,Right arm Medium fast,Bowler,New Zealand
Mitchell Santner,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,New Zealand
Lockie Ferguson,Right hand Bat,Right arm Fast,Bowler,New Zealand
Ish Sodhi,Right hand Bat,Legbreak,Bowler,New Zealand
Hazratullah Zazai,Left hand Bat,Slow Left arm Orthodox,Opening Batter,Afghanistan
Rahmanullah Gurbaz,Right hand Bat,,Wicketkeeper Batter,Afghanistan
Ibrahim Zadran,Right hand Bat,Right arm Medium fast,Opening Batter,Afghanistan
Usman Ghani,Right hand Bat,,Opening Batter,Afghanistan
Najibullah Zadran,Left hand Bat,Right arm Offbreak,Middle order Batter,Afghanistan
Mohammad Nabi,Right hand Bat,Right arm Offbreak,Allrounder,Afghanistan
Azmatullah Omarzai,Right hand Bat,Right arm Medium fast,Allrounder,Afghanistan
Rashid Khan,Right hand Bat,Legbreak Googly,Bowling Allrounder,Afghanistan
Mujeeb Ur Rahman,Right hand Bat,Right arm Offbreak,Bowler,Afghanistan
Fareed Ahmad,Left hand Bat,Left arm Fast medium,Bowler,Afghanistan
Fazalhaq Farooqi,Right hand Bat,Left arm Fast medium,Bowler,Afghanistan
Jos Buttler,Right hand Bat,,Wicketkeeper Batter,England
Alex Hales,Right hand Bat,Right arm Medium,Opening Batter,England
Dawid Malan,Left hand Bat,Legbreak,Top order Batter,England
Ben Stokes,Left hand Bat,Right arm Fast medium,Allrounder,England
Liam Livingstone,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder,England
Harry Brook,Right hand Bat,Right arm Medium,Batter,England
Moeen Ali,Left hand Bat,Right arm Offbreak,Batting Allrounder,England
Chris Woakes,Right hand Bat,Right arm Fast medium,Allrounder,England
Mark Wood,Right hand Bat,Right arm Fast,Bowler,England
Sam Curran,Left hand Bat,Left arm Medium fast,Allrounder,England
Adil Rashid,Right hand Bat,Legbreak,Bowler,England
Mohammad Rizwan,Right hand Bat,,Wicketkeeper Batter,Pakistan
Babar Azam,Right hand Bat,Right arm Offbreak,Batter,Pakistan
Shan Masood,Left hand Bat,Right arm Medium fast,Opening Batter,Pakistan
Iftikhar Ahmed,Right hand Bat,Right arm Offbreak,Middle order Batter,Pakistan
Shadab Khan,Right hand Bat,Legbreak,Allrounder,Pakistan
Haider Ali,Right hand Bat,,Middle order Batter,Pakistan
Mohammad Nawaz,Left hand Bat,Slow Left arm Orthodox,Allrounder,Pakistan
Asif Ali,Right hand Bat,Right arm Offbreak,Middle order Batter,Pakistan
Shaheen Shah Afridi,Left hand Bat,Left arm Fast,Bowler,Pakistan
Haris Rauf,Right hand Bat,Right arm Fast,Bowler,Pakistan
KL Rahul,Right hand Bat,,Wicketkeeper Batter,India
Rohit Sharma,Right hand Bat,Right arm Offbreak,Top order Batter,India
Virat Kohli,Right hand Bat,Right arm Medium,Top order Batter,India
Suryakumar Yadav,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter,India
Axar Patel,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,India
Hardik Pandya,Right hand Bat,Right arm Medium fast,Allrounder,India
Dinesh Karthik,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,India
Ravichandran Ashwin,Right hand Bat,Right arm Offbreak,Bowling Allrounder,India
Bhuvneshwar Kumar,Right hand Bat,Right arm Medium,Bowler,India
Arshdeep Singh,Left hand Bat,Left arm Medium fast,Bowler,India
Mohammed Shami,Right hand Bat,Right arm Fast,Bowler,India
Naseem Shah,Right hand Bat,Right arm Fast,Bowler,Pakistan
Najmul Hossain Shanto,Left hand Bat,Right arm Offbreak,Top order Batter,Bangladesh
Soumya Sarkar,Left hand Bat,Right arm Medium fast,Middle order Batter,Bangladesh
Litton Das,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,Bangladesh
Shakib Al Hasan,Left hand Bat,Slow Left arm Orthodox,Allrounder,Bangladesh
Afif Hossain,Left hand Bat,Right arm Offbreak,Allrounder,Bangladesh
Yasir Ali,Right hand Bat,Right arm Offbreak,Middle order Batter,Bangladesh
Nurul Hasan,Right hand Bat,,Wicketkeeper Batter,Bangladesh
Mosaddek Hossain,Right hand Bat,Right arm Offbreak,Middle order Batter,Bangladesh
Taskin Ahmed,Left hand Bat,Right arm Fast,Bowler,Bangladesh
Hasan Mahmud,Right hand Bat,Right arm Fast medium,Bowler,Bangladesh
Shariz Ahmad,Left hand Bat,Legbreak Googly,Bowler,Netherlands
Mustafizur Rahman,Left hand Bat,Left arm Fast medium,Bowler,Bangladesh
Quinton de Kock,Left hand Bat,,Wicketkeeper Batter,South Africa
Temba Bavuma,Right hand Bat,Right arm Medium,Middle order Batter,South Africa
Kagiso Rabada,Left hand Bat,Right arm Fast,Bowler,South Africa
Wayne Parnell,Left hand Bat,Left arm Medium fast,Bowler,South Africa
Lungi Ngidi,Right hand Bat,Right arm Fast medium,Bowler,South Africa
Keshav Maharaj,Right hand Bat,Slow Left arm Orthodox,Bowler,South Africa
Anrich Nortje,Right hand Bat,Right arm Fast,Bowler,South Africa
Ashton Agar,Left hand Bat,Slow Left arm Orthodox,Bowler,Australia
Fionn Hand,Right hand Bat,Right arm Medium,Bowling Allrounder,Ireland
Rilee Rossouw,Left hand Bat,Right arm Offbreak,Top order Batter,South Africa
Tristan Stubbs,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,South Africa
Aiden Markram,Right hand Bat,Right arm Offbreak,Opening Batter,South Africa
David Miller,Left hand Bat,Right arm Offbreak,Middle order Batter,South Africa
Mehidy Hasan Miraz,Right hand Bat,Right arm Offbreak,Allrounder,Bangladesh
Tabraiz Shamsi,Right hand Bat,Left arm Wrist spin,Bowler,South Africa
Brad Evans,Right hand Bat,Right arm Fast,Allrounder,Zimbabwe
Mohammad Wasim,Right hand Bat,Right arm Fast medium,Allrounder,Pakistan
Daryl Mitchell,Right hand Bat,Right arm Medium,Allrounder,New Zealand
Kasun Rajitha,Right hand Bat,Right arm Medium fast,Bowler,Sri Lanka
Stephan Myburgh,Left hand Bat,Right arm Offbreak,Opening Batter,Netherlands
Fakhar Zaman,Left hand Bat,Slow Left arm Orthodox,Opening Batter,Pakistan
Brandon Glover,Right hand Bat,Right arm Fast,Bowler,Netherlands
Deepak Hooda,Right hand Bat,Right arm Offbreak,Allrounder,India
Gulbadin Naib,Right hand Bat,Right arm Medium fast,Batting Allrounder,Afghanistan
Shoriful Islam,Left hand Bat,Left arm Medium fast,Bowler,Bangladesh
Mohammad Haris,Right hand Bat,Right arm Offbreak,Middle order Batter,Pakistan
Heinrich Klaasen,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,South Africa
Cameron Green,Right hand Bat,Right arm Fast medium,Batting Allrounder,Australia
Steven Smith,Right hand Bat,Legbreak Googly,Middle order Batter,Australia
Kane Richardson,Right hand Bat,Right arm Fast medium,Bowler,Australia
Darwish Rasooli,Right hand Bat,Right arm Offbreak,Top order Batter,Afghanistan
Naveen-ul-Haq,Right hand Bat,Right arm Medium fast,Bowler,Afghanistan
Nasum Ahmed,Left hand Bat,Slow Left arm Orthodox,Bowler,Bangladesh
Ebadot Hossain,Right hand Bat,Right arm Fast medium,Bowler,Bangladesh
Rishabh Pant,Left hand Bat,,Wicketkeeper Batter,India
Wellington Masakadza,Left hand Bat,Slow Left arm Orthodox,Bowler,Zimbabwe
Chris Jordan,Right hand Bat,Right arm Fast medium,Bowler,England
Phil Salt,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,England
